actor_1,actor_2,shared_movies_count
Anthony Daniels,Kenny Baker,6
Kenny Baker,Frank Oz,5
Anthony Daniels,Frank Oz,5
James Doohan,Walter Koenig,4
Robbie Coltrane,Emma Watson,4
Alan Rickman,Daniel Radcliffe,4
William Shatner,Walter Koenig,4
Kenny Baker,Peter Mayhew,4
Alan Rickman,Rupert Grint,4
Anthony Daniels,Ian McDiarmid,4
Anthony Daniels,Peter Mayhew,4
Kenny Baker,Ian McDiarmid,4
Robbie Coltrane,Alan Rickman,4
Alan Rickman,Emma Watson,4
Robbie Coltrane,Daniel Radcliffe,4
William Shatner,James Doohan,4
Rupert Grint,Emma Watson,4
Daniel Radcliffe,Rupert Grint,4
Frank Oz,Ian McDiarmid,4
Robbie Coltrane,Rupert Grint,4
Daniel Radcliffe,Emma Watson,4
Leonard Nimoy,Walter Koenig,3
Kenny Baker,James Earl Jones,3
DeForest Kelley,James Doohan,3
Anthony Daniels,Ewan McGregor,3
Michael Palin,John Cleese,3
Carrie Fisher,David Prowse,3
Harrison Ford,Carrie Fisher,3
James Doohan,Nichelle Nichols,3
Nichelle Nichols,Walter Koenig,3
Ewan McGregor,Frank Oz,3
Elijah Wood,Ian McKellen,3
Orlando Bloom,Billy Boyd,3
Christian Bale,Michael Caine,3
Orlando Bloom,Liv Tyler,3
Lea Thompson,James Tolkan,3
Ian McKellen,Billy Boyd,3
Viggo Mortensen,Ian McKellen,3
Viggo Mortensen,Billy Boyd,3
Rupert Grint,Tom Felton,3
Natalie Portman,Ewan McGregor,3
Emma Watson,Tom Felton,3
Maggie Smith,Daniel Radcliffe,3
Maggie Smith,Emma Watson,3
Elijah Wood,John Rhys-Davies,3
Elijah Wood,Orlando Bloom,3
Peter Stormare,Steve Buscemi,3
Bill Paxton,Michael Biehn,3
Orlando Bloom,John Rhys-Davies,3
John Rhys-Davies,Ian McKellen,3
Natalie Portman,Ian McDiarmid,3
Hugo Weaving,Keanu Reeves,3
Alan Rickman,Tom Felton,3
Kenny Baker,Ewan McGregor,3
Anthony Daniels,Natalie Portman,3
David Prowse,Peter Mayhew,3
Carrie Fisher,Kenny Baker,3
Mark Hamill,Anthony Daniels,3
Ben Affleck,Matt Damon,3
Harrison Ford,James Earl Jones,3
Mark Hamill,James Earl Jones,3
William Shatner,Leonard Nimoy,3
Carrie-Anne Moss,Keanu Reeves,3
Ewan McGregor,Ian McDiarmid,3
Elijah Wood,Billy Boyd,3
Harrison Ford,Peter Mayhew,3
James Earl Jones,Peter Mayhew,3
Carrie-Anne Moss,Laurence Fishburne,3
Matt Damon,Casey Affleck,3
Bill Murray,Luke Wilson,3
Leonard Nimoy,Nichelle Nichols,3
William Shatner,Nichelle Nichols,3
DeForest Kelley,Nichelle Nichols,3
Julianne Moore,Philip Seymour Hoffman,3
Harrison Ford,Anthony Daniels,3
